まちなか 高齢者いきいきふれあい館,まちなか,0800012,北海道帯広市 西2条南7-1 帯広信金第3ビル,0155-67-6799,帯広駅,帯広駅から直線距離で757m,海抜38m,カフェ,42.92470277,143.20149516,https://r.gnavi.co.jp/c8rgzf240000/
黒船,くろふね,0800014,北海道帯広市 西四条南10-43,0155-25-0200,帯広駅,帯広駅から直線距離で355m,海抜41m,喫茶店・軽食,42.920484,143.19959585,https://r.gnavi.co.jp/jccucxr80000/
せこんど,せこんど,0800012,北海道帯広市西２条南７丁目２０,0155-24-0331,帯広駅,帯広駅から直線距離で659m,海抜39m,喫茶店,42.92384247,143.20220415,
さかい珈琲帯広店,さかいこーひーおびひろてん,0800012,北海道帯広市 西2条南5-1,0155-67-6061,帯広駅,帯広駅から直線距離で1010m,海抜36m,喫茶店・軽食,42.92697194,143.20114243,https://r.gnavi.co.jp/erxgj7dy0000/
キッチン・ハウスあしたば,きっちんはうすあしたば,0800013,北海道帯広市西３条南４丁目４,0155-26-4600,帯広駅,帯広駅から直線距離で1130m,海抜36m,喫茶店,42.9279475,143.1999624,
イージーダイナー,いーじーだいなー,0800012,北海道帯広市西２条南８丁目２０,0155-23-8875,帯広駅,帯広駅から直線距離で527m,海抜40m,カフェ,42.92264822,143.20236251,
NOBU KITCHEN Cafe,のぶきっちんかふぇ,0800019,北海道帯広市 西9条南9-14 つがハウス1F,0155-67-1891,帯広駅,帯広駅から直線距離で953m,海抜39m,カフェ,42.92075295,143.1911659,https://r.gnavi.co.jp/6b04c41d0000/
六花亭 喫茶室 帯広本店,ろっかていきっさしつおびひろほんてん,0800012,北海道帯広市 西二条南9-6 2F,0120-12-6666,帯広駅,帯広駅から直線距離で481m,海抜40m,喫茶店・軽食,42.92223672,143.2023702,https://r.gnavi.co.jp/m40803620000/
Cafe るくら,かふぇるくら,0800011,北海道帯広市 西一条南8-7-3,0155-66-6779,帯広駅,帯広駅から直線距離で597m,海抜40m,カフェ,42.92326421,143.20277578,https://r.gnavi.co.jp/ewpg91df0000/
喫茶ウィーン,きっさうぃーん,0800015,北海道帯広市西５条南１１丁目４８,0155-25-6162,帯広駅,帯広駅から直線距離で346m,海抜42m,喫茶店,42.91903182,143.19822141,
ＷｉｎｅＢａｒ＆Ｃａｆｅ・ＭａｒｉａｇｅｄｅＶｉｎ,わいんばーあんどかふぇまりあーじゅどゔぃん,0800011,北海道帯広市西１条南９丁目５−３,0155-29-2080,帯広駅,帯広駅から直線距離で493m,海抜40m,"カフェ
バー",42.92230938,143.20298748,
平成,へいせい,0800012,北海道帯広市 西2条南4-1-1,0155-23-8266,帯広駅,帯広駅から直線距離で1141m,海抜35m,喫茶店・軽食,42.92813581,143.20091741,https://r.gnavi.co.jp/5tafn6r40000/
チル（ＣＨＩＬＬ）,ちる,0800011,北海道帯広市西１条南９丁目１５,0155-22-0808,帯広駅,帯広駅から直線距離で439m,海抜40m,"カフェ
喫茶店",42.92176506,143.20333468,
花の館,はなのやかた,0800020,北海道帯広市西１０条南１０丁目４−２,0155-67-4856,帯広駅,帯広駅から直線距離で1029m,海抜40m,カフェ,42.91974534,143.18982213,
コーヒーコーナー,こーひーこーなー,0800010,北海道帯広市 大通南6-3,0155-23-5725,帯広駅,帯広駅から直線距離で907m,海抜38m,カフェ,42.9259195,143.20435042,https://r.gnavi.co.jp/pvrbprjt0000/
mint cafe,みんとかふぇ,0800010,北海道帯広市 大通南6-14-1,0155-67-4039,帯広駅,帯広駅から直線距離で875m,海抜38m,カフェ,42.92548372,143.20510883,https://r.gnavi.co.jp/pa9m1en10000/
雑貨ショップToKoToKo,ざっかしょっぷとことこ,0800010,北海道帯広市 大通南5-20,0155-67-6535,帯広駅,帯広駅から直線距離で966m,海抜37m,喫茶店・軽食,42.926364,143.20494761,https://r.gnavi.co.jp/cmj2esge0000/
キッチンカフェ めだちやさん,きっちんかふぇめだちやさん,0800013,北海道帯広市 西三条南1-2,0155-24-9636,帯広駅,帯広駅から直線距離で1465m,海抜36m,カフェ,42.93081854,143.19850898,https://r.gnavi.co.jp/76h6ry5p0000/
FLOWMOTION,ふろーもーしょん,0800015,北海道帯広市 西五条南13-11,0155-21-5506,帯広駅,帯広駅から直線距離で380m,海抜44m,カフェ,42.91686481,143.19774062,https://r.gnavi.co.jp/cv00hrx50000/
ドトールコーヒーショップとかちプラザ店,どとーるこーひーしょっぷとかちぷらざてん,,北海道帯広市西四条南１３-１,080-2879-1744,帯広駅,帯広駅から直線距離で145m,海抜43m,ドトールコーヒー,42.91726221,143.20063241,
六花亭 西3条店,ろっかていにしさんじょうてん,0800013,北海道帯広市 西3条南1-1-1,0120-12-6666,帯広駅,帯広駅から直線距離で1527m,海抜36m,喫茶店・軽食,42.93141293,143.19866177,https://r.gnavi.co.jp/fst5v5av0000/
何ン田研二の店マスカット,なんだけんじのみせますかっと,0800035,北海道帯広市西５条北１丁目６,0155-66-9908,帯広駅,帯広駅から直線距離で1633m,海抜36m,カラオケ喫茶,42.93177469,143.19552646,
高橋まんじゅう屋,たかはしまんじゅうや,0800801,北海道帯広市 東一条南5-19-4,0155-23-1421,帯広駅,帯広駅から直線距離で1006m,海抜37m,甘味処,42.92649044,143.20612817,https://r.gnavi.co.jp/9a203kdz0000/
エレファント・イン・ザ・ルーム,えれふぁんといんざるーむ,0800012,北海道帯広市 西2条南1-18,0155-29-2463,帯広駅,帯広駅から直線距離で1442m,海抜36m,喫茶店・軽食,42.93087438,143.20123096,https://r.gnavi.co.jp/k0k31v4b0000/
幻想,げんそう,0800021,北海道帯広市西１１条南１１丁目４−６,0155-67-6094,帯広駅,帯広駅から直線距離で1106m,海抜42m,"カフェ
喫茶店",42.91832608,143.18864462,
キーズ・カフェ,きーずかふぇ,0800012,北海道帯広市西２条南１２丁目３−２,0155-21-1350,帯広駅,帯広駅から直線距離で68m,海抜43m,カフェ,42.91757665,143.20287389,
ホテル日航ノースランド帯広 ラウンジ「オーロラ」,ほてるにっこうのーすらんどおびひろらうんじおーろら,0800012,北海道帯広市西二条南13-1 ホテル日航ノースランド帯広 1F,0155-24-1307,帯広駅,帯広駅から直線距離で73m,海抜43m,カフェ,42.91726444,143.20235532,https://r.gnavi.co.jp/h044330/
コンセプトカフェぷろぺら,こんせぷとかふぇぷろぺら,0783454,北海道留萌郡小平町字鬼鹿広富４８−１,0164-56-1828,,,海抜7m,カフェ,44.13696235,141.65513874,
おびら鰊番屋　観光交流センター,おびらにしんばんやかんこうこうりゅうせんたー,0783454,北海道留萌郡小平町字鬼鹿広富４８−１,0164-56-1828,,,海抜7m,カフェ,44.13696235,141.65513874,
喫茶男,きっさだん,0781741,北海道上川郡上川町 中央町581,01658-2-1887,上川駅,上川駅から直線距離で137m,海抜338m,喫茶店・軽食,43.84903397,142.76825954,https://r.gnavi.co.jp/buf08ea10000/
だいせつ倶楽部,だいせつくらぶ,0781733,北海道上川郡上川町 栄町70-4,01658-2-4555,上川駅,上川駅から直線距離で623m,海抜327m,カフェ,43.84819192,142.75897714,https://r.gnavi.co.jp/ej94cwsu0000/
NUKUMO Cafe,ぬくもかふぇ,0781731,北海道上川郡上川町 東雲139-5 大雪かみかわヌクモ,01658-2-4000,安足間駅,安足間駅から直線距離で1773m,海抜302m,カフェ,43.84269082,142.71169828,https://r.gnavi.co.jp/g6p481620000/
大雪　かみかわヌクモ,だいせつかみかわぬくも,0781731,北海道上川郡上川町字東雲,01658-2-4000,安足間駅,安足間駅から直線距離で4116m,海抜348m,カフェ,43.82029817,142.72026845,
緑丘茶房,みどりがおかさぼう,0781721,北海道上川郡上川町 菊水841-8,01658-2-3921,上川駅,上川駅から直線距離で7158m,海抜632m,カフェ,43.79766312,142.82132814,https://r.gnavi.co.jp/2xubtpjt0000/
のんのん,のんのん,0801408,北海道河東郡上士幌町 上士幌東3線235,01564-2-3570,,,海抜273m,カフェ,43.23114716,143.29385304,https://r.gnavi.co.jp/am7cf2sr0000/
フォーシーズン,ふぉーしーずん,0801408,北海道河東郡上士幌町 字上士幌東3線239,01564-2-4785,,,海抜278m,喫茶店・軽食,43.23499994,143.29350936,https://r.gnavi.co.jp/pg18fuad0000/
一休,いっきゅう,0801408,北海道河東郡上士幌町 上士幌東3線229,01564-2-3800,,,海抜269m,カフェ,43.22592001,143.29227045,https://r.gnavi.co.jp/csy8pz0n0000/
豊岡食堂＆カフェ,とよおかしょくどうあんどかふぇ,0801407,北海道河東郡上士幌町 上音更西5線271 豊岡ヴィレッジ内,01564-2-2766,,,海抜383m,カフェ,43.2508766,143.21033303,https://r.gnavi.co.jp/7pe0zy8f0000/
まちの駅 ふらっと,まちのえきふらっと,0730201,北海道空知郡上砂川町 中央北一条4-1-5,0125-74-6400,砂川駅,砂川駅から直線距離で6275m,海抜107m,カフェ,43.48181144,141.98528044,https://r.gnavi.co.jp/f0e4w0pd0000/
CAFE＋GALLERY 我礼里亜,かふぇあんどぎゃらりーがれりあ,0710542,北海道空知郡上富良野町 錦町3-4-20,0167-56-8014,上富良野駅,上富良野駅から直線距離で403m,海抜207m,カフェ,43.46127135,142.46567218,https://r.gnavi.co.jp/3cvawetk0000/
フラノカフェ,ふらのかふぇ,0710543,北海道空知郡上富良野町 中町1-2-22 光荘,0167-56-7615,上富良野駅,上富良野駅から直線距離で240m,海抜211m,カフェ,43.46195749,142.46820524,https://r.gnavi.co.jp/kbw480p70000/
軽食＆喫茶ラベンダー,けいしょくあんどきっさらべんだー,0710562,北海道空知郡上富良野町 南町4,0167-45-9001,上富良野駅,上富良野駅から直線距離で1646m,海抜214m,喫茶店・軽食,43.44931771,142.47086704,https://r.gnavi.co.jp/b1dwjhse0000/
アラビゴコーヒー 上富良野店,あらびごこーひーかみふらのてん,0710543,北海道空知郡上富良野町 中町1-4-23,0167-45-2908,上富良野駅,上富良野駅から直線距離で156m,海抜211m,コーヒー,43.46294637,142.46769963,https://r.gnavi.co.jp/bv5vv3px0000/
喫茶モナミ,きっさもなみ,0710543,北海道空知郡上富良野町 中町1-4-7,0167-45-2928,上富良野駅,上富良野駅から直線距離で136m,海抜211m,喫茶店・軽食,43.46328525,142.46756912,https://r.gnavi.co.jp/bbg80n0k0000/
コーヒー＆レストランサウンドブース,こーひーあんどれすとらんさうんどぶーす,0710546,北海道空知郡上富良野町西町４丁目１１７２−７,0167-45-9744,上富良野駅,上富良野駅から直線距離で1045m,海抜208m,喫茶店,43.46574622,142.45616007,
サウンドブース,さうんどぶーす,0710546,北海道空知郡上富良野町 西町4-1172-7,0167-45-9744,上富良野駅,上富良野駅から直線距離で1065m,海抜209m,喫茶店・軽食,43.46583668,142.45593241,https://r.gnavi.co.jp/fkgp97sy0000/
Kaneko Coffee Beans,かねここーひーびーんず,0710522,北海道空知郡上富良野町 東2線北21,0167-45-2055,西中駅,西中駅から直線距離で1676m,海抜196m,カフェ,43.43660222,142.46014985,https://r.gnavi.co.jp/7efspme40000/
ｋａｎｅｋｏｃｏｆｆｅｅ,かねここーひー,0710522,北海道空知郡上富良野町東２線北２１号,0167-45-2055,西中駅,西中駅から直線距離で1657m,海抜195m,カフェ,43.43589719,142.46036438,
gelatrip,じぇらーとりっぷ,0710521,北海道空知郡上富良野町東1線北20-912-71,0167-45-2314,西中駅,西中駅から直線距離で1262m,海抜195m,カフェ・スイーツ その他,43.43675481,142.45392759,https://r.gnavi.co.jp/ha05101/
ふらのガーデンカフェ,ふらのがーでんかふぇ,0710504,北海道空知郡上富良野町 西4線北27 フラワーランドかみふらの内,0167-45-3501,上富良野駅,上富良野駅から直線距離で2116m,海抜238m,カフェ,43.47627146,142.44878927,https://r.gnavi.co.jp/gu8jcspj0000/
サリーリ,さりーり,0710505,北海道空知郡上富良野町 西5線北26,0167-45-2382,上富良野駅,上富良野駅から直線距離で2151m,海抜240m,カフェ,43.47585643,142.44778808,https://r.gnavi.co.jp/gxnchg6s0000/
イルベーベ,いるべーべ,0710529,北海道空知郡上富良野町 東9線北18 多田農園内,0167-45-5935,西中駅,西中駅から直線距離で4720m,海抜209m,カフェ,43.40727175,142.49136849,https://r.gnavi.co.jp/r8dgx6yf0000/
コーヒー＆ブレッド えん,こーひーあんどぶれっどえん,0710509,北海道空知郡上富良野町 西9線北34-3664-3,0167-45-2425,美馬牛駅,美馬牛駅から直線距離で1944m,海抜290m,カフェ,43.51997662,142.4485305,https://r.gnavi.co.jp/9dyv59xa0000/
花七曜,はなしちよう,0710511,北海道空知郡上富良野町 西11線北34,0167-45-2292,美馬牛駅,美馬牛駅から直線距離で1814m,海抜291m,カフェ,43.52409095,142.4341832,https://r.gnavi.co.jp/bwr2rmur0000/
かんのファーム,かんのふぁーむ,0710512,北海道空知郡上富良野町西１２線北３６号,0167-45-9528,美馬牛駅,美馬牛駅から直線距離で724m,海抜272m,カフェ,43.53952276,142.43862369,
泊まれる喫茶店 ふくろま,とまれるきっさてんふくろま,0450300,北海道古宇郡神恵内村 80-4,0135-67-7397,,,海抜9m,喫茶店・軽食,43.14379991,140.43145135,https://r.gnavi.co.jp/mtzx41sd0000/
軽食 喫茶CoCo,けいしょくきっさここ,0490422,北海道上磯郡木古内町 本町535-1,01392-2-2848,木古内駅,木古内駅から直線距離で128m,海抜5m,喫茶店・軽食,41.67751078,140.43531405,https://r.gnavi.co.jp/1nh9rkck0000/
その喫茶店,そのきっさてん,0490412,北海道上磯郡木古内町字大平６−９,01392-2-2647,札苅駅,札苅駅から直線距離で1584m,海抜2m,"カフェ
コーヒー専門店
喫茶店",41.69222917,140.45180749,
ＴｒｕｆｆｅＢＡＫＥＲＹＢＡＫＥＲＹ＆ＲＥＳＴＡＵＲＡＮＴ,とりゅふべーかりーべーかりーあんどれすとらん,0611112,北海道北広島市共栄２６６,011-375-0866,北広島駅,北広島駅から直線距離で1557m,海抜40m,カフェ,42.98970729,141.55134237,
インディアンボーイズケネル大曲,いんでぃあんぼーいずけねるおおまがり,0611272,北海道北広島市大曲末広５丁目１０−１６,011-377-6924,上野幌駅,上野幌駅から直線距離で5338m,海抜100m,カフェ,42.96871065,141.49050206,
猫のしっぽ,ねこのしっぽ,0611273,北海道北広島市大曲柏葉２丁目２−２,011-370-3655,上野幌駅,上野幌駅から直線距離で5209m,海抜100m,甘味処,42.96983532,141.48449425,
タリーズコーヒー＆ＴＥＡ三井アウトレットパーク札幌北広島店,たりーずこーひーあんどてぃーみついあうとれっとぱーくさっぽろきたひろしまてん,,北海道北広島市大曲幸町３丁目７-６,011-377-2451,上野幌駅,上野幌駅から直線距離で5249m,海抜105m,タリーズコーヒー,42.97089716,141.47119271,
茶匠清水一芳園,ちゃしょうしみずいっぽうえん,0611278,北海道北広島市大曲幸町２丁目１２−２,011-802-7115,上野幌駅,上野幌駅から直線距離で5137m,海抜106m,カフェ,42.97214567,141.47010374,
スターバックスコーヒー北広島大曲店,すたーばっくすこーひーきたひろしまおおまがりてん,,北海道北広島市大曲幸町６-１,011-370-5315,上野幌駅,上野幌駅から直線距離で5478m,海抜107m,スターバックスコーヒー,42.9688087,141.47097806,
大曲茶房,おおまがりさぼう,0611278,北海道北広島市大曲幸町６丁目１,011-802-8179,上野幌駅,上野幌駅から直線距離で5510m,海抜105m,甘味処,42.9686406,141.47025954,
ミナファーム農家カフェ蔵楽,みなふぁーむのうかかふぇくらら,0611266,北海道北広島市三島１１９−１,011-377-3377,島松駅,島松駅から直線距離で5459m,海抜60m,"カフェ
喫茶店",42.92056142,141.50665628,
ミナファーム農家カフェ蔵楽,みなふぁーむのうかかふぇくらら,0611266,北海道北広島市三島１１９,011-377-3377,島松駅,島松駅から直線距離で5459m,海抜60m,"カフェ
喫茶店",42.92056142,141.50665628,
コバルト,こばると,0900041,北海道北見市 北一条西2,0157-23-0064,北見駅,北見駅から直線距離で279m,海抜73m,喫茶店・軽食,43.80404004,143.89401217,https://r.gnavi.co.jp/n1xf3fcr0000/
やさしい時間,やさしいじかん,0900040,北海道北見市 大通西2-1 パラボ・6F,0157-31-3600,北見駅,北見駅から直線距離で169m,海抜72m,喫茶店・軽食,43.80394568,143.89563986,https://r.gnavi.co.jp/2usb32sm0000/
カフェオリーブ,かふぇおりーぶ,0900040,北海道北見市 大通西2-1 コミニティプラザパラボ3F,0157-31-3600,北見駅,北見駅から直線距離で169m,海抜72m,喫茶店・軽食,43.80394568,143.89563986,https://r.gnavi.co.jp/kgbx10ch0000/
カフェ茶屋,かふぇちゃや,0900042,北海道北見市 北二条西3-4,0157-23-7740,北見駅,北見駅から直線距離で353m,海抜73m,喫茶店・軽食,43.80426203,143.89296237,https://r.gnavi.co.jp/nt71nj5v0000/
メレンゲコーヒー　宅配サービス,めれんげこーひーたくはいさーびす,0900042,北海道北見市北２条西２丁目,0157-26-0611,北見駅,北見駅から直線距離で255m,海抜73m,コーヒー専門店,43.80483787,143.8940899,
喫茶くぼた,きっさくぼた,0900043,北海道北見市 北三条西1,0157-24-8022,北見駅,北見駅から直線距離で281m,海抜73m,喫茶店・軽食,43.80592311,143.89404823,https://r.gnavi.co.jp/6yp7wukv0000/
マカリィ（ＭＡＫＡＬＩＩ）,まかりぃ,0900045,北海道北見市北５条西３丁目１１−１,0157-25-9200,北見駅,北見駅から直線距離で496m,海抜74m,カフェ,43.80467668,143.89110968,
たい夢北見店,たいむきたみてん,0900817,北海道北見市常盤町２丁目１−７１,0157-31-5662,北見駅,北見駅から直線距離で766m,海抜73m,甘味処,43.79984116,143.89082663,
かふぇとすぺーすくぷくぷ,かふぇとすぺーすくぷくぷ,0900023,北海道北見市北３条東２丁目５−３,0157-57-9292,北見駅,北見駅から直線距離で321m,海抜80m,カフェ,43.80763759,143.89590905,
サウンドイン・ホープ,さうんどいんほーぷ,0900037,北海道北見市山下町２丁目１−５,0157-33-4230,北見駅,北見駅から直線距離で749m,海抜77m,カラオケ喫茶,43.80495154,143.88794885,
ニューピラード,にゅーぴらーど,0900036,北海道北見市幸町６丁目５−１２,0157-25-0345,北見駅,北見駅から直線距離で736m,海抜79m,"コーヒー専門店
喫茶店",43.80565146,143.88816258,
カフェ コア,かふぇこあ,0908666,北海道北見市 北6条東2 北見赤十字病院1F,0157-24-3115,北見駅,北見駅から直線距離で441m,海抜83m,カフェ,43.80835529,143.89451568,https://r.gnavi.co.jp/94s2ek970000/
ポプラ,ぽぷら,0900037,北海道北見市山下町４丁目１,0157-26-2886,北見駅,北見駅から直線距離で940m,海抜78m,"カフェ
コーヒー専門店
喫茶店",43.80405716,143.88563792,
マルマン喫茶,まるまんきっさ,0900037,北海道北見市 山下町3-2,0157-25-8766,北見駅,北見駅から直線距離で970m,海抜79m,喫茶店・軽食,43.80479768,143.88520742,https://r.gnavi.co.jp/d6ujp32s0000/
喫茶 すいとぴい,きっさすいとぴい,0900029,北海道北見市 北九条東2-5-4,0157-22-2643,北見駅,北見駅から直線距離で684m,海抜85m,喫茶店・軽食,43.80990303,143.89225616,https://r.gnavi.co.jp/1nj2z2w20000/
フォーシーズン,ふぉーしーずん,0900022,北海道北見市 北2条東5-1,0157-61-0969,北見駅,北見駅から直線距離で521m,海抜75m,カフェ,43.80947005,143.89881391,https://r.gnavi.co.jp/p5911v8n0000/
珈琲舘,こーひーかん,0900021,北海道北見市 北1条東5-6,0157-23-5537,北見駅,北見駅から直線距離で545m,海抜76m,喫茶店・軽食,43.80957356,143.89938649,https://r.gnavi.co.jp/bpvx9rkd0000/
喫茶キャステル,きっさきゃすてる,0900037,北海道北見市 山下町4-6-8,0157-61-5108,北見駅,北見駅から直線距離で1055m,海抜78m,喫茶店・軽食,43.80403657,143.88420474,https://r.gnavi.co.jp/axpxbbr90000/
ｊａｚｚｌｏｕｎｇｅ中島珈琲,じゃずらうんじなかじまこーひー,0900804,北海道北見市桜町３丁目５８,0157-57-4134,北見駅,北見駅から直線距離で658m,海抜59m,"カフェ
喫茶店",43.80598812,143.90530271,
リブラぴあ〜の,りぶらぴあーの,0900064,北海道北見市 美芳町5-2-13 ライズビル1F,0157-33-3760,北見駅,北見駅から直線距離で1125m,海抜79m,カフェ,43.80503654,143.88327413,https://r.gnavi.co.jp/g3sbxu0z0000/
真路美喫茶店,まろみきっさてん,0900064,北海道北見市美芳町８丁目１−１,0157-25-4758,北見駅,北見駅から直線距離で1376m,海抜79m,喫茶店,43.80450412,143.88016339,
喫茶 真路美,きっさまろみ,0900064,北海道北見市 美芳町8-1-1,0157-25-4758,北見駅,北見駅から直線距離で1386m,海抜79m,喫茶店・軽食,43.80448099,143.88004697,https://r.gnavi.co.jp/r3020tzr0000/
GREEN CAFE,ぐりーんかふぇ,0900035,北海道北見市 北斗町2-5-15,0157-57-5261,北見駅,北見駅から直線距離で1292m,海抜99m,カフェ,43.81075506,143.88337651,https://r.gnavi.co.jp/185gvyk80000/
カフェトランHin‐Na,かふぇとらんひんな,0900833,北海道北見市 とん田東町398,0157-57-5625,北見駅,北見駅から直線距離で1572m,海抜76m,カフェ,43.79915376,143.87941678,https://r.gnavi.co.jp/52rcz66n0000/
喫茶スイング,きっさすいんぐ,0900064,北海道北見市 美芳町1-8-25,0157-61-4611,北見駅,北見駅から直線距離で1451m,海抜97m,喫茶店・軽食,43.80922753,143.88024076,https://r.gnavi.co.jp/4ah4tdfg0000/
カラオケ喫茶スマイル,からおけきっさすまいる,0900018,北海道北見市青葉町８−１６,0157-57-3955,北見駅,北見駅から直線距離で1122m,海抜84m,カラオケ喫茶,43.81499518,143.89820835,
ペンギンベーカリー　北見店,ぺんぎんべーかりーきたみてん,0900064,北海道北見市美芳町８丁目３−１８,0157-57-5500,北見駅,北見駅から直線距離で1605m,海抜83m,カフェ,43.80372631,143.87737759,
コメダ珈琲店北見夕陽ヶ丘店,こめだこーひーてんきたみゆうひがおかてん,,北海道北見市美芳町２丁目６-３３,0157-57-9230,北見駅,北見駅から直線距離で1715m,海抜102m,コメダ珈琲店,43.80914954,143.87676229,
Ｃａｆｅ’ｄｅ花薄荷,かふぇどはなはっか,0900052,北海道北見市北進町１丁目１−１,0157-31-8780,北見駅,北見駅から直線距離で1792m,海抜96m,喫茶店,43.808234,143.87546356,
花薄荷 イオン北見店,はなはっかいおんきたみてん,0900052,北海道北見市 北進町1-1-1 イオン北見店2F,0157-31-8780,北見駅,北見駅から直線距離で1798m,海抜96m,カフェ,43.80821886,143.87538302,https://r.gnavi.co.jp/g3afh7mh0000/
COFFEE＆SHARESPACE tigris,こーひーあんどしぇあすぺーすてぃぐりす,0440201,北海道虻田郡喜茂別町 喜茂別76,0136-55-5671,,,海抜253m,カフェ,42.79590141,140.93416683,https://r.gnavi.co.jp/6ms22tb40000/
ドライブイン ソーケシュ,どらいぶいんそーけしゅ,0440215,北海道虻田郡喜茂別町 相川89,0136-55-8313,,,海抜256m,カフェ,42.78763927,140.9375958,https://r.gnavi.co.jp/eckkrk0a0000/
雪月花廊,せつげつかろう,0440461,北海道虻田郡喜茂別町 字中里392,0136-33-6067,,,海抜320m,喫茶店・軽食,42.74562744,141.03999578,https://r.gnavi.co.jp/b9e64pm10000/
ポニー,ぽにー,0440101,北海道虻田郡京極町字京極３０２,0136-42-3626,,,海抜229m,喫茶店,42.86056528,140.88417297,
ケンブリッジ,けんぶりっじ,0450032,北海道岩内郡共和町老古美３２０−３,0135-62-2281,,,海抜162m,"カフェ
喫茶店
紅茶専門店",42.94807754,140.55928144,
とうりゃんせ,とうりゃんせ,0450031,北海道岩内郡共和町 梨野舞納255-60,0135-62-1277,,,海抜35m,喫茶店・軽食,42.98676266,140.53335085,https://r.gnavi.co.jp/nkkvfa4f0000/
ＴＯＫＯ‐ＴＯＫＯカフェ,とことこかふぇ,0994405,北海道斜里郡清里町羽衣町４２,0152-26-7095,清里町駅,清里町駅から直線距離で675m,海抜24m,カフェ,43.83276198,144.59224715,
きよ〜るカフェ,きよーるかふぇ,0994405,北海道斜里郡清里町 羽衣町62 きよ〜る,0152-25-4111,清里町駅,清里町駅から直線距離で1325m,海抜25m,カフェ,43.82852346,144.58545631,https://r.gnavi.co.jp/76u45t3k0000/
からし種,からしだね,0994401,北海道斜里郡清里町 上斜里890-3,0152-25-2342,清里町駅,清里町駅から直線距離で983m,海抜20m,カフェ,43.84752424,144.59305113,https://r.gnavi.co.jp/57n40wad0000/
マルフ珈琲,まるふこーひー,0994525,北海道斜里郡清里町 緑町71-50,0152-27-5615,緑駅,緑駅から直線距離で419m,海抜139m,カフェ,43.71458169,144.50644092,https://r.gnavi.co.jp/405gx2rr0000/
喫茶 スター,きっさすたー,0850018,北海道釧路市 黒金町7-5 釧路市役所B1,0154-23-5151,釧路駅,釧路駅から直線距離で636m,海抜4m,喫茶店・軽食,42.98479452,144.38117696,https://r.gnavi.co.jp/ca1e1dhw0000/
Ｊａｚｚ＆ＣｏｆｆｅｅＣａｔ,じゃずあんどこーひーきゃっと,0850017,北海道釧路市幸町６丁目１−５,0154-35-2987,釧路駅,釧路駅から直線距離で734m,海抜4m,喫茶店,42.98398424,144.38041414,
カフェ コロン,かふぇころん,0850015,北海道釧路市 北大通7-2,0154-64-7033,釧路駅,釧路駅から直線距離で591m,海抜5m,カフェ,42.98533905,144.38368503,https://r.gnavi.co.jp/du746vbf0000/
喫茶リリー,きっさりりー,0850015,北海道釧路市 北大通4-6,0154-24-2762,釧路駅,釧路駅から直線距離で790m,海抜6m,喫茶店・軽食,42.98358938,144.38424336,https://r.gnavi.co.jp/gk8znsnt0000/
仏蘭西茶館喫茶,ふらんすさかんきっさ,0850014,北海道釧路市 末広町5-5 末広ビルB1,0154-22-9666,釧路駅,釧路駅から直線距離で760m,海抜6m,喫茶店・軽食,42.9842949,144.38585413,https://r.gnavi.co.jp/r4zwy4yp0000/
カフェデジャヴ,かふぇでじゃゔ,0850014,北海道釧路市 末広町7-2 金森ビル,0154-25-6225,釧路駅,釧路駅から直線距離で622m,海抜5m,カフェ,42.98580019,144.38608191,https://r.gnavi.co.jp/2eum760e0000/
ベイカフェ,べいかふぇ,0850016,北海道釧路市錦町２丁目４,0154-24-8838,釧路駅,釧路駅から直線距離で980m,海抜6m,カフェ,42.98174011,144.38334182,
喫茶 ボロンジ,きっさぼろんじ,0850014,北海道釧路市 末広町3-2-17,0154-45-1203,釧路駅,釧路駅から直線距離で849m,海抜6m,喫茶店・軽食,42.98351712,144.38617635,https://r.gnavi.co.jp/ruzmje3s0000/
タリーズコーヒー 釧路店,たりーずこーひーくしろてん,0850014,北海道釧路市 末広町3-1-1 パステルパーク1F,0154-32-0321,釧路駅,釧路駅から直線距離で897m,海抜6m,カフェ,42.98307552,144.38627116,https://r.gnavi.co.jp/3ky6ckrh0000/
カフェレストバー ダイナー,かふぇれすとばーだいなー,0850013,北海道釧路市 栄町4-1 2F,0154-25-9732,釧路駅,釧路駅から直線距離で839m,海抜6m,カフェ,42.98412833,144.38745413,https://r.gnavi.co.jp/7tjgv83e0000/
えいが館,えいがかん,0850014,北海道釧路市 末広町12-2,0154-22-0715,釧路駅,釧路駅から直線距離で311m,海抜3m,カフェ,42.988664,144.38481491,https://r.gnavi.co.jp/451d9ssz0000/
釧路パコの湯ラウンジ,くしろぱこのゆらうんじ,0850014,北海道釧路市 末広町2 ホテルパコ釧路7F,0154-32-1126,釧路駅,釧路駅から直線距離で970m,海抜6m,喫茶店・軽食,42.98252025,144.38676007,https://r.gnavi.co.jp/pgg95vrx0000/
タリーズコーヒー　釧路店有限会社営業本部アナヴァン,たりーずこーひーくしろてんえいぎょうほんぶあなゔぁん,0850018,北海道釧路市黒金町１３丁目９,0154-24-8055,釧路駅,釧路駅から直線距離で113m,海抜3m,"カフェ
コーヒー専門店
喫茶店",42.98950302,144.38164977,
